year,climate_zone,continent,mean_intensity,record_freq,max_streak,pct_above_p90
1854,Tropical,North America,0.6165,0.1146,2,0.0104
1854,Tropical,Ocean / Unclassified,0.6728,0.2756,5,0.1929
1854,Tropical,South America,0.3537,0.0944,5,0.0778
1855,Polar,Antarctica,0.8389,0.0891,3,0.2049
1855,Polar,Asia,0.553,0.0345,3,0.0216
1855,Polar,Europe,0.5282,0.0,0,0.0
1855,Polar,North America,0.641,0.0188,3,0.1188
1855,Polar,Ocean / Unclassified,0.8224,0.0858,6,0.1604
1855,Temperate,Africa,0.5567,0.1222,6,0.0889
1855,Temperate,Antarctica,0.6484,0.1493,3,0.3229
1855,Temperate,Asia,0.3625,0.2561,6,0.2386
1855,Temperate,Australia-Oceania,0.5535,0.1225,1,0.1275
1855,Temperate,Europe,0.3472,0.2471,3,0.1149
1855,Temperate,North America,0.4566,0.1807,4,0.2044
1855,Temperate,Ocean / Unclassified,0.6467,0.1517,6,0.2
1855,Temperate,South America,0.5326,0.1222,3,0.0722
1855,Tropical,Africa,0.4485,0.103,2,0.0303
1855,Tropical,Asia,0.5642,0.1221,6,0.0534
1855,Tropical,Australia-Oceania,0.5448,0.0962,2,0.0385
1855,Tropical,North America,0.6216,0.1562,3,0.0417
1855,Tropical,Ocean / Unclassified,0.6745,0.1201,3,0.0827
1855,Tropical,South America,0.3619,0.1444,2,0.1167
1856,Polar,Antarctica,0.8341,0.0463,3,0.1007
1856,Polar,Asia,0.5526,0.0474,4,0.0043
1856,Polar,Europe,0.5322,0.0,0,0.0
1856,Polar,North America,0.6513,0.0875,4,0.2688
1856,Polar,Ocean / Unclassified,0.8154,0.0112,1,0.0448
1856,Temperate,Africa,0.5558,0.1185,2,0.0593
1856,Temperate,Antarctica,0.6486,0.066,3,0.3403
1856,Temperate,Asia,0.3578,0.1386,3,0.1561
1856,Temperate,Australia-Oceania,0.5584,0.1814,2,0.1471
1856,Temperate,Europe,0.3322,0.0575,1,0.0517
1856,Temperate,North America,0.455,0.0929,2,0.1014
1856,Temperate,Ocean / Unclassified,0.6474,0.1438,4,0.127
1856,Temperate,South America,0.5224,0.0944,3,0.1333
